id,name,code,slug,status,created,modified,provider_id,latency,cost,inference,realtime_sts
77,hera,hera,hera,f,2025-08-14 08:10:21.282008+00,2025-12-22 05:13:02.656729+00,33,,0.00,f,f
78,perseus,perseus,perseus,f,2025-08-14 08:11:55.034969+00,2025-12-22 05:13:02.597659+00,33,,0.00,f,f
1,Alloy,Alloy,Alloy,f,2025-07-05 09:46:30.7191+00,2026-02-07 06:52:29.853246+00,,,0.00,t,f
2,Echo,echo,Echo,t,2025-07-05 09:46:52.464826+00,2026-02-07 07:29:44.477152+00,7,,0.00,f,t
79,Zeus,zeus,zeus,f,2025-08-19 09:43:09.651723+00,2025-12-22 05:13:02.513932+00,33,,0.00,f,f
81,Harry,Harry,Harry,f,2025-08-20 09:27:08.619492+00,2025-12-22 05:13:02.429522+00,37,,0.00,f,f
82,Spencer,Spencer,Spencer,f,2025-08-20 09:27:35.750018+00,2025-12-22 05:13:02.403102+00,37,,0.00,f,f
83,Stella,stella,Stella,f,2025-08-23 07:28:29.836444+00,2025-12-23 06:04:23.644306+00,40,,0.00,f,f
84,angus,angus,angus,f,2025-08-23 07:32:13.821535+00,2025-12-22 05:13:02.349445+00,24,,0.00,f,f
85,helios,helios,helios,f,2025-08-23 07:34:45.785131+00,2025-12-22 05:13:02.319686+00,24,,0.00,f,f
91,matilda,matilda,matilda,f,2025-08-23 08:00:32.86621+00,2025-12-22 05:13:02.171026+00,34,,0.00,f,f
95,Riya,faf0731e-dfb9-4cfc-8119-259a79b27e12,Riya,t,2025-09-24 06:47:35.314787+00,2026-01-16 10:51:47.524427+00,42,,0.00,t,f
96,Ashima,mActWQg9kibLro6Z2ouY,ashima,t,2025-09-24 10:19:27.094356+00,2025-09-24 10:19:27.094423+00,34,,0.00,f,f
97,Autumn,autumn,autumn,f,2025-09-24 10:22:48.471029+00,2025-12-22 05:13:01.919549+00,40,,0.00,f,f
98,Akriti,95d51f79-c397-46f9-b49a-23763d3eaa2d,akriti,t,2025-09-24 10:30:15.03793+00,2025-09-24 10:30:15.037991+00,42,,0.00,f,f
100,Elowen,elowen,elowen,f,2025-09-24 10:43:35.910652+00,2025-12-22 05:13:01.886224+00,40,,0.00,f,f
101,Olivia,1SM7GgM6IMuvQlz2BwM3,olivia,t,2025-09-24 10:47:49.773939+00,2025-09-24 10:47:49.774004+00,34,,0.00,f,f
102,Default Voice,a8a1eb38-5f15-4c1d-8722-7ac0f329727d,default-voice,t,2025-09-24 13:29:03.680542+00,2025-09-24 13:29:03.680605+00,42,,0.00,f,f
104,British Reading Lady,71a7ad14-091c-4e8e-a314-022ece01c121,british-reading-lady,t,2025-09-24 13:30:56.855061+00,2025-09-24 13:30:56.855128+00,42,,0.00,f,f
106,Joanie,a7b8d8fa-f6e5-4908-900e-0c11d1d82519,Joanie,t,2025-10-29 13:22:51.95437+00,2025-10-29 13:22:51.954437+00,42,,0.00,f,f
109,Parvati,bec003e2-3cb3-429c-8468-206a393c67ad,Parvati,t,2025-12-18 09:45:05.267438+00,2025-12-22 05:13:56.627466+00,42,,0.00,f,f
110,palak,28ca2041-5dda-42df-8123-f58ea9c3da00,palak,t,2025-12-20 12:42:30.759713+00,2025-12-23 06:50:40.198588+00,42,,0.00,t,f
111,ayush,791d5162-d5eb-40f0-8189-f19db44611d8,ayush,t,2025-12-20 12:44:03.342438+00,2025-12-23 06:50:03.546134+00,42,,0.00,t,f
112,jaspreet,991c62ce-631f-48b0-8060-2a0ebecbd15b,jaspreet,t,2025-12-20 12:44:50.547143+00,2025-12-23 06:50:59.066975+00,42,,0.00,t,f
113,amit,91925fe5-42ee-4ebe-96c1-c84b12a85a32,amit,t,2025-12-20 12:46:31.505414+00,2025-12-23 06:51:10.911563+00,42,,0.00,t,f
115,kavya,25d2c432-139c-4035-bfd6-9baaabcdd006,kavya,t,2025-12-20 12:48:04.005721+00,2025-12-23 06:51:34.838431+00,42,,0.00,t,f
116,jacqueline,9626c31c-bec5-4cca-baa8-f8ba9e84c8bc,jacqueline,t,2025-12-20 12:48:50.157519+00,2025-12-23 06:51:44.159562+00,42,,0.00,t,f
117,blake,a167e0f3-df7e-4d52-a9c3-f949145efdab,blake,t,2025-12-20 12:49:29.500914+00,2025-12-23 06:52:00.573647+00,42,,0.00,t,f
118,miles,f114a467-c40a-4db8-964d-aaba89cd08fa,miles,t,2025-12-20 12:50:26.639836+00,2025-12-23 06:52:10.26172+00,42,,0.00,t,f
