id,created,modified,created_by,updated_by,name,description,url,slug,logo,token_limit,config,provider_id,tool_calling,inference,sort_order,status,realtime_sts,codename,cost
346,2025-09-24 10:39:31.003062+00,2026-01-05 08:13:47.758962+00,,,bulbul:v2,"","",bulbulv2,"",,{},20,f,f,0,active,f,bulbul:v2,0.0000
354,2025-10-05 16:55:40.334601+00,2026-01-05 08:13:47.772937+00,,,qwen/qwen3-32b,"","",qwen-qwen3-32b,"",,{},10,f,f,0,inactive,f,qwen/qwen3-32b,0.0000
357,2025-10-20 07:26:56.716714+00,2026-01-05 08:13:47.777814+00,,,claude-3-haiku-20240307,"","",claude-3-haiku-20240307,"",250,{},16,t,f,0,inactive,f,claude-3-haiku-20240307,0.0000
358,2025-10-22 17:46:19.342562+00,2026-01-05 08:13:47.782645+00,,,gemma3:270m,"","",gemma3-270m,"",,{},53,f,f,0,inactive,f,gemma3:270m,0.0000
360,2025-10-25 20:52:34.459698+00,2026-01-05 08:13:47.794957+00,,,cohere.embed-v4:0,"","",cohere-embed-v4-0,"",,{},50,t,f,0,inactive,f,cohere.embed-v4:0,0.0000
361,2025-10-25 20:53:41.138559+00,2026-01-05 08:13:47.800707+00,,,amazon.nova-lite-v1:0,"","",amazon-nova-lite-v1-0,"",,{},50,f,f,0,inactive,f,amazon.nova-lite-v1:0,0.0000
363,2025-10-25 22:12:46.693804+00,2026-01-05 08:13:47.81893+00,,,qwen-3-32b,"","",cerebras-qwen-3-32b,"",,{},54,t,f,0,inactive,f,qwen-3-32b,0.0000
367,2025-11-02 06:35:03.212658+00,2026-01-05 08:13:47.853307+00,,,grok-code-fast-1,"","",grok-code-fast-1,"",,{},56,t,f,0,inactive,f,grok-code-fast-1,0.0000
368,2025-11-02 06:40:49.071811+00,2026-01-05 08:13:47.863586+00,,,grok-4-0709,"","",grok-4-0709,"",,{},56,f,f,0,inactive,f,grok-4-0709,0.0000
369,2025-11-02 06:42:48.611178+00,2026-01-05 08:13:47.871479+00,,,grok-4-fast-non-reasoning,"","",grok-4-fast-non-reasoning,"",,{},56,t,f,0,inactive,f,grok-4-fast-non-reasoning,0.0000
